name,flavor_type,sweetness_level,richness,fruity,nutty,price,mood
Pineapple Bliss,sweet,2,3,0,1,219,excited
Chocolate Overload,fruity,3,2,1,0,99,happy
Coconut Truffle,light,3,3,0,1,199,calm
Coconut Truffle,light,1,2,1,0,219,calm
Coconut Truffle,indian,3,2,1,0,199,celebration
Red Velvet Cupcake,nutty,1,2,0,1,189,celebration
Cranberry Blondie,nutty,3,1,1,1,189,celebration
Nutella Brownie,nutty,3,1,0,1,189,celebration
Rasmalai Truffle,sweet,1,1,1,0,149,excited
Pineapple Bliss,chocolate,1,3,1,1,199,comfort
Coffee Mocha Brownie,chocolate,3,3,1,1,179,comfort
Nutella Brownie,sweet,2,1,1,0,219,excited
Vanilla Sunshine,chocolate,2,3,0,1,229,comfort
Vanilla Sunshine,chocolate,1,3,0,1,189,comfort
Vanilla Sunshine,sweet,1,3,0,0,149,excited
Coffee Mocha Brownie,fruity,2,1,1,1,229,happy
Nutella Brownie,fruity,3,1,1,1,179,happy
Vanilla Sunshine,sweet,1,1,0,0,179,excited
Chocolate Overload,sweet,2,2,1,0,149,excited
Coffee Mocha Brownie,indian,2,1,0,0,149,celebration
Oreo Crunch Cupcake,indian,3,1,0,0,219,celebration
Rasmalai Truffle,light,3,2,0,0,189,calm
Pineapple Bliss,nutty,1,3,1,1,219,celebration
Hazelnut Dream,indian,1,3,0,0,229,celebration
Red Velvet Cupcake,light,1,3,0,0,149,calm
Hazelnut Dream,nutty,2,3,0,1,219,celebration
Cranberry Blondie,fruity,3,2,1,0,219,happy
Rasmalai Truffle,light,3,3,1,1,99,calm
Nutella Brownie,sweet,2,1,0,0,249,excited
Almond Caramel Tart,sweet,1,2,0,0,99,excited
Salted Caramel Bite,fruity,1,2,1,0,219,happy
Almond Caramel Tart,light,2,1,0,0,219,calm
Rasmalai Truffle,nutty,2,1,0,1,179,celebration
Salted Caramel Bite,sweet,3,3,0,0,219,excited
Mango Delight,fruity,1,3,1,0,179,happy
Strawberry Swirl,nutty,1,3,0,1,249,celebration
Mango Delight,nutty,3,3,0,1,229,celebration
Rasmalai Truffle,sweet,1,3,1,0,199,excited
Oreo Crunch Cupcake,indian,3,1,1,0,249,celebration
Cranberry Blondie,indian,3,2,0,1,219,celebration
Nutella Brownie,chocolate,3,1,0,0,179,comfort
Mango Delight,nutty,1,2,0,1,149,celebration
Oreo Crunch Cupcake,light,3,3,0,1,219,calm
Vanilla Sunshine,indian,1,1,1,0,199,celebration
Rasmalai Truffle,indian,2,3,1,0,219,celebration
Mango Delight,chocolate,3,3,0,1,179,comfort
Hazelnut Dream,nutty,2,1,0,1,229,celebration
Nutella Brownie,chocolate,2,3,0,0,199,comfort
Chocolate Overload,fruity,3,3,1,0,199,happy
Cranberry Blondie,chocolate,2,3,0,0,249,comfort
Pineapple Bliss,chocolate,3,2,0,0,219,comfort
Vanilla Sunshine,sweet,3,3,0,0,199,excited
Red Velvet Cupcake,nutty,1,1,0,1,179,celebration
Salted Caramel Bite,chocolate,3,2,1,0,199,comfort
Pineapple Bliss,sweet,3,1,0,1,219,excited
Oreo Crunch Cupcake,nutty,3,3,0,1,99,celebration
Red Velvet Cupcake,indian,3,3,0,1,229,celebration
Strawberry Swirl,sweet,3,1,0,0,99,excited
Coconut Truffle,indian,3,2,0,0,149,celebration
Strawberry Swirl,indian,2,1,0,0,219,celebration
Mango Delight,light,2,3,0,0,229,calm
Salted Caramel Bite,indian,1,3,1,0,179,celebration
Chocolate Overload,nutty,1,2,0,1,189,celebration
Coconut Truffle,nutty,3,2,1,1,179,celebration
Strawberry Swirl,fruity,1,1,1,0,249,happy
Cranberry Blondie,indian,2,3,1,0,249,celebration
Mango Delight,sweet,1,2,0,0,229,excited
Oreo Crunch Cupcake,light,1,2,0,0,219,calm
Coconut Truffle,fruity,3,3,1,1,99,happy
Coffee Mocha Brownie,sweet,1,2,0,0,189,excited
Salted Caramel Bite,fruity,3,1,1,0,179,happy
Pineapple Bliss,fruity,1,2,1,0,229,happy
Nutella Brownie,chocolate,2,1,1,0,229,comfort
Strawberry Swirl,light,3,3,0,0,249,calm
Nutella Brownie,sweet,3,3,0,0,189,excited
Rasmalai Truffle,fruity,1,2,1,0,189,happy
Nutella Brownie,nutty,3,2,0,1,199,celebration
Nutella Brownie,nutty,3,1,0,1,149,celebration
Coconut Truffle,nutty,2,1,0,1,249,celebration
Cranberry Blondie,indian,3,1,1,0,99,celebration
Strawberry Swirl,sweet,3,2,0,0,189,excited
Oreo Crunch Cupcake,nutty,1,1,0,1,189,celebration
Salted Caramel Bite,light,3,3,1,0,229,calm
Coffee Mocha Brownie,sweet,1,2,0,0,249,excited
Red Velvet Cupcake,nutty,1,2,0,1,249,celebration
Mango Delight,sweet,2,2,0,0,149,excited
Blueberry Truffle,sweet,1,3,0,1,229,excited
Hazelnut Dream,chocolate,1,2,0,0,219,comfort
Almond Caramel Tart,indian,2,2,1,1,149,celebration
Nutella Brownie,fruity,1,2,1,0,189,happy
Hazelnut Dream,indian,2,1,0,0,199,celebration
Hazelnut Dream,sweet,1,2,0,0,249,excited
Salted Caramel Bite,fruity,2,1,1,0,189,happy
Almond Caramel Tart,fruity,2,1,1,1,179,happy
Cranberry Blondie,light,3,1,1,0,249,calm
Hazelnut Dream,nutty,1,2,0,1,219,celebration
Coconut Truffle,chocolate,3,2,0,0,149,comfort
Chocolate Overload,chocolate,2,3,1,0,219,comfort
Salted Caramel Bite,chocolate,3,1,0,0,99,comfort
Rasmalai Truffle,sweet,3,2,0,0,229,excited
Nutella Brownie,fruity,2,2,1,0,179,happy
Cranberry Blondie,fruity,1,3,1,1,229,happy
Salted Caramel Bite,indian,2,3,0,0,199,celebration
Almond Caramel Tart,light,1,3,0,0,179,calm
Hazelnut Dream,light,3,3,0,0,99,calm
Blueberry Truffle,sweet,2,3,1,1,229,excited
Chocolate Overload,sweet,1,2,0,0,99,excited
Salted Caramel Bite,fruity,3,1,1,0,229,happy
Pineapple Bliss,light,3,3,0,0,229,calm
Cranberry Blondie,chocolate,2,1,0,0,189,comfort
Coffee Mocha Brownie,nutty,2,3,0,1,229,celebration
Salted Caramel Bite,chocolate,3,2,0,0,149,comfort
Hazelnut Dream,fruity,1,1,1,1,179,happy
Salted Caramel Bite,fruity,1,3,1,0,199,happy
Vanilla Sunshine,light,3,2,1,0,99,calm
Nutella Brownie,sweet,1,3,0,0,219,excited
Rasmalai Truffle,nutty,2,1,0,1,249,celebration
Strawberry Swirl,nutty,2,1,0,1,199,celebration
Mango Delight,indian,3,3,0,0,149,celebration
Cranberry Blondie,chocolate,2,2,1,1,99,comfort
Coffee Mocha Brownie,fruity,1,3,1,0,229,happy
Almond Caramel Tart,fruity,3,2,1,0,229,happy
Hazelnut Dream,indian,2,3,1,1,189,celebration
Mango Delight,nutty,1,3,0,1,219,celebration
Vanilla Sunshine,nutty,3,2,1,1,149,celebration
Blueberry Truffle,indian,1,1,0,0,189,celebration
Chocolate Overload,nutty,3,1,0,1,179,celebration
Salted Caramel Bite,sweet,2,2,0,0,219,excited
Coffee Mocha Brownie,fruity,2,1,1,0,189,happy
Salted Caramel Bite,light,3,3,1,0,179,calm
Chocolate Overload,nutty,3,2,0,1,149,celebration
Coconut Truffle,sweet,1,3,0,1,149,excited
Strawberry Swirl,nutty,1,1,1,1,199,celebration
Vanilla Sunshine,chocolate,3,2,0,0,199,comfort
Chocolate Overload,light,2,2,0,0,199,calm
Oreo Crunch Cupcake,sweet,3,3,0,0,249,excited
Strawberry Swirl,fruity,2,2,1,1,219,happy
Coffee Mocha Brownie,sweet,3,1,0,1,199,excited
Strawberry Swirl,nutty,3,3,0,1,99,celebration
Strawberry Swirl,fruity,1,2,1,0,219,happy
Blueberry Truffle,chocolate,1,1,0,0,219,comfort
Chocolate Overload,indian,2,1,0,0,99,celebration
Coconut Truffle,chocolate,1,3,0,1,199,comfort
Vanilla Sunshine,fruity,1,1,1,1,219,happy
Mango Delight,sweet,1,2,0,0,99,excited
Blueberry Truffle,fruity,3,1,1,0,99,happy
Strawberry Swirl,light,2,1,0,0,149,calm
Almond Caramel Tart,fruity,2,3,1,0,189,happy
Strawberry Swirl,sweet,3,3,1,0,179,excited
Coffee Mocha Brownie,light,3,3,1,0,229,calm
Cranberry Blondie,sweet,1,2,0,0,179,excited
Rasmalai Truffle,indian,2,3,1,0,189,celebration
Hazelnut Dream,light,2,3,1,1,219,calm
Coffee Mocha Brownie,nutty,1,2,0,1,219,celebration
